SUB_ID,X,Subject,GENOTYPE_GROUP,SEX_GROUP,AGE_GROUP,AGE_MONTHS,DIET_GROUP,HN_GROUP,Weight,Animal_ID,DWI_ID,Winding_Number,Island_Entry,Distance_Total,Norm_SW_Distance,Winding_Number_Norm,Island_Entry_Norm,Distance_Total_Norm,Norm_SW_Distance_Norm,Weight_Norm
123,123,123,3,2,1,14.07,1,2,25.6,211004_10,N59076,18.626226761208,4,11.674,0.50685283536063,1.49068965987994,1.5947159666196,1.51086418101447,1.58918778627627,1.68436797778609
124,124,124,3,1,1,14.07,2,2,43.1,211004_14,N59078,17.4778430166556,2,10.838,0.322568739619856,1.43063413925104,1.43073011396477,1.43279535588536,1.37576464779675,1.68436797778609
125,125,125,1,1,1,15.03,1,1,27,210222_16,N59080,18.4830560066931,1,12.931,0.536617430979816,1.48320244644453,1.34873718763736,1.62824756999447,1.62365876646089,1.35020101804881
126,126,126,2,1,1,15.7,2,2,53.6,210112_19,N59097,16.51117124,3,12,0.29925,1.38008137141562,1.51272304029218,1.54130728746433,1.34875874381436,1.68436797778609
127,127,127,2,1,1,15.67,2,2,66.2,210112_20,N59099,14.86229091,5,14.91,0.376190476190476,1.29385203636742,1.67670889294701,1.81305403522234,1.43786506543519,1.68436797778609
128,128,128,2,1,1,15.67,2,2,51.8,210112_18,N59109,15.77228707,2,13.446,0.272720511676335,1.34144091370773,1.43073011396477,1.67634020748429,1.31803440681972,1.68436797778609
129,129,129,2,2,1,15.67,2,2,57.7,210112_21,N59116,14.35928675,3,12.237,0.409332352700825,1.26754708660598,1.51272304029218,1.56343923908586,1.4762473429264,1.68436797778609
130,130,130,2,2,2,17.27,2,2,54.3,210112_23,N59118,16.72015311,5,11.293,0.497210661471708,1.3910102225635,1.67670889294701,1.47528496764821,1.5780209896796,1.68436797778609
131,131,131,2,2,1,15.63,2,2,52.2,210112_24,N59120,17.72701127,1,12.247,0.351269698701723,1.44366456505581,1.34873718763736,1.56437307670702,1.40900380899512,1.68436797778609
132,132,132,2,1,1,15.77,2,2,52.1,210614_8,N59136,19.4263021657775,1,10.633,0.28157622496003,1.5325301554388,1.34873718763736,1.41365168465155,1.32829038748307,1.68436797778609
133,133,133,2,1,1,15.77,2,2,47.3,210614_9,N59140,14.4161202917144,1,12.603,0.279060541140998,1.27051923590105,1.34873718763736,1.59761769602038,1.32537692317178,1.68436797778609
134,134,134,2,2,1,15.83,2,2,44.8,210614_13,N59141,12.7266615356736,0,11.538,0.207488299531981,1.18216782405253,1.26674426130995,1.49816398936667,1.24248766259392,1.68436797778609
135,135,135,1,2,1,15.07,2,2,40.9,210614_2,N60056,18.055473765308,3,12.835,0.436540708998831,1.46084173797938,1.51272304029218,1.61928272883132,1.50775789065244,1.68436797778609
136,136,136,1,2,1,15.07,2,2,33.9,210614_3,N60058,21.1548640071113,3,10.815,0.437355524734166,1.62292649012484,1.51272304029218,1.43064752935669,1.50870154523542,1.68436797778609
137,137,137,1,2,1,15.07,2,2,27.3,210614_4,N60060,14.2965854695012,3,14.571,0.269439297234232,1.26426807986079,1.51272304029218,1.78139693986497,1.31423436601076,1.68436797778609
